1,"005","L005 UK Hedged Stock","R41",10,"No"
2,"006","L006 US Hedged Stock","R46",20,"No"
3,"007","L007 HK Hedged Stock","R50",30,"No"
4,"008","L008 CN Hedged Stock","R53",40,"No"
5,"ST1","Total Hedged Stock","+(R1,R2,R3,R4)",50,"No"
6,"010.01","L010.01 UK Unhedged Stock"," ",60," "
7,"010.02","L010.02 US Unhedged Stock"," ",70," "
8,"010.03","L010.03 US Unhedged Stock"," ",80," "
9,"010.04","L010.04 CN Unhedged Stock"," ",90," "
10,"ST2","Total Unhedged Stock","+(R6,R7,R8,R9)",100,"No"
11,"015.01","L015.01 UK Leases (External)"," ",110," "
12,"015.02","L015.02 US Leases (External)"," ",120," "
13,"015.02","L015.02 US Leases (External)"," ",130," "
14,"015.03","L015.03 HK Leases (External)"," ",140," "
15,"015.04","L015.04 CN Leases (External)"," ",150," "
16,"ST3","Total Leases (External)","+(R11,R12,R13,R14,R15)",160,"No"
17,"020.01","L020.01 PMM Customer Metal UK"," ",170," "
18,"020.02","L020.02 PMM Customer Metal US"," ",180," "
19,"020.03","L020.03 PMM Customer Metal HK"," ",190," "
20,"020.04","L020.04 PMM Customer Metal CN"," ",200," "
21,"ST4","Total Customer Metal","+(R17,R18,R19,R20)",210,"No"
22,"ST5","L035 Total Sources","+(R5,R10,R16,R21)",220,"No"
23,"ST6","L040 Intra Group Company Metal","+(R54,R76,R95,R108)",230,"No"
24,"ST7","L045 PMM Stock","+(R121,R162,R184,R206)",240,"No"
25,"ST8","L050 Total Disposition","+(R23,R24)",250,"No"
26,"ST9","Diff","+(R22,-R25)",260,"No"
27,"ST10","Borrowings"," ",270,"No"
28,"ST11","L011 UK-HK Borrowing"," ",280,"No"
29,"ST12","L012 UK-US Borrowings"," ",290,"No"
30,"ST13","L013 US-UK Borrowings"," ",300,"No"
31,"ST14","L014 US-HK Borrowings"," ",310,"No"
32,"ST15","L015 HK-UK Borrowings"," ",320,"No"
33,"ST16","L016 HK-US Borrowing"," ",330,"No"
34,"004","L004 Hedged Stock Details"," ",340,"No"
35,"005.01","L005.01 UK Own Control Accounts"," ",350," "
36,"005.02","L005.02 UK Ext Control Accounts"," ",360," "
37,"005.03","L055.03 UK Consignment Accounts"," ",370," "
38,"005.04","L005.04-PMM UK@PMM HK-HK"," ",380," "
39,"005.05","L005.05-PMM UK@PMM US-VF"," ",390," "
40,"005.06","L005.06-PMM UK@PMM CHINA-SH/ING"," ",400," "
41,"ST17","L005.20 UK Hedged Stock","+(R35,R36,R37,R38,R39,R40)",410,"No"
